SourceID,ManualSearchUnitID,SourceRole,URL,RetrievedAt,LocalSnapshot,SHA256,ContentType,Notes
SRC-MODELSWARD-2023-SCITEPRESS-TOC-HUMAN-20260815,MSU-MODELSWARD-2023,PRIMARY_TOC,https://www.scitepress.org/ProceedingsDetails.aspx?ID=M/tLGjnMVq0=&t=1,2026-08-14T21:39:55Z,controlled://MSU-MODELSWARD-2023/publisher_primary_toc.html,d2b2a4d4f5aca0bd3b11f0417429f7c9d1032c2a29a21fc35ca4ec5aa29bb3fc,text/html,Human-authenticated acquisition via institutional access. Source bytes retained in controlled project storage. Not redistributed publicly. Offline completeness validation observed 30 of 30 records.
SRC-MODELSWARD-2023-SCITEPRESS-BIBTEX-HUMAN-20260815,MSU-MODELSWARD-2023,METADATA_SOURCE,,2026-08-14T21:39:24Z,controlled://MSU-MODELSWARD-2023/publisher_export.bib,44de4c8392057d768a83b2587174b909d7a66dc7e5be487e1acdbd5adbe54079,application/x-bibtex,Human-authenticated publisher aggregate export. Source bytes retained in controlled project storage. Not redistributed publicly. Parsed with BibTeX::Parser 1.05.
SRC-MODELSWARD-2023-CROSSCHECK-HUMAN-20260815,MSU-MODELSWARD-2023,VENUE_CROSSCHECK,https://modelsward.scitevents.org/?y=2023,2026-08-15T13:13:13Z,controlled://MSU-MODELSWARD-2023/official_site_crosscheck.html,54ad700cc8e35a9e8fe918450c9397c87d384230bcd6ce6b87d7354fab57fcd8,text/html,Official SCITEVENTS annual conference page acquired manually. Source bytes retained in controlled project storage and not redistributed publicly. CrosscheckGranularity=EVENT_LEVEL; the linked technical program is not locally materialized.
