ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-RE-2025-MAIN-0068,MSU-RE-2025-MAIN,68,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a576/2aFJZVLdtyE,Tool for Supporting Debugging and Understanding of Normative Requirements Using LLMs,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a576/2aFJZVLdtyE,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0069,MSU-RE-2025-MAIN,69,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a580/2aFK227ma7C,Production Line Augmented Reality Application,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a580/2aFK227ma7C,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0070,MSU-RE-2025-MAIN,70,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a582/2aFK3Eil5fi,Cognitive Biases in Requirements Engineering: Towards Understanding Their Relevance from a Communication Perspective,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a582/2aFK3Eil5fi,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0071,MSU-RE-2025-MAIN,71,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a586/2aFJZxB2D28,Explainable Augmented Reality for Assembly Tasks: A Multi-Stakeholder Requirements Engineering Approach,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a586/2aFJZxB2D28,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0072,MSU-RE-2025-MAIN,72,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a590/2aFK1i83uxy,"Read, Extract, Classify: A Tool for Smarter Requirements Engineering",,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a590/2aFK1i83uxy,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0073,MSU-RE-2025-MAIN,73,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a594/2aFK4hA50oU,Cultural Impact on Requirements Engineering Activities: Bangladeshi Practitioners’ View,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a594/2aFK4hA50oU,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0074,MSU-RE-2025-MAIN,74,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a598/2aFK4J432ec,Human-Machine Collaboration and Ethical Considerations in Adaptive Cyber-Physical Systems,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a598/2aFK4J432ec,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0075,MSU-RE-2025-MAIN,75,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a603/2aFK5IoxwGs,Smells Like Trouble: Investigating the Impact of Requirements Quality on LLM-Supported Software Engineering,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a603/2aFK5IoxwGs,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0076,MSU-RE-2025-MAIN,76,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a607/2aFK1bXHOkE,Intelligent Traceability to Support Software Maintainability and Accountability,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a607/2aFK1bXHOkE,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0077,MSU-RE-2025-MAIN,77,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a612/2aFK5xLqWEE,Building Software Functional Requirements Lists Using RAG with Distinct LLMs in Multiple Interactions,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a612/2aFK5xLqWEE,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0078,MSU-RE-2025-MAIN,78,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a617/2aFK0osGNZ6,Model-Driven Requirements Engineering to Support IA-Enabled Digital Twins of IoT-Enhanced Business Processes,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a617/2aFK0osGNZ6,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0079,MSU-RE-2025-MAIN,79,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a621/2aFK4brqUYo,From Artifacts to Answers: Designing Tools to Support Information Needs in Software Teams,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a621/2aFK4brqUYo,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0080,MSU-RE-2025-MAIN,80,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a627/2aFJZeGa5zy,Author Index,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a627/2aFJZeGa5zy,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
