id,logical_id,TY,TI,AU,T2,C1,C3,DA,PY,SP,EP,DO,SN,PB,UR,DB,KW,OG,VL,IS,N1,A2,AB,AD,J2,LA,M3,C7,C2,ST,filter_1,filter_1_date,filter_1_observations,oa_status,oa_color,oa_host_type,oa_pdf_url,oa_landing_url,oa_checked_date,pdf_status,pdf_file,pdf_source_host_type,pdf_source_url,pdf_local_source,pdf_status_orientacao,excluded,exclusion_criteria,duplicate_group,duplicate_role
011,011_ACM,CONF,A RAG-based Feedback Tool to Augment UML Class Diagram Learning,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Scalera, Michele",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"Linz, Austria",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,2024///,2024,26,30,10.1145/3652620.3687784,9798400706226,Association for Computing Machinery,https://doi.org/10.1145/3652620.3687784,ACM Digital Library,learning; UML; software modeling; retrieval augmented generation; large language model; tool,acm/acm_A2.enw,,,,,,,,,,,,,excluido,2026-08-15,"ANALISE DE DUPLICACAO — grupo DUP-A-005, nivel A (DOI identico e titulo normalizado identico). Membros: 011_ACM(ACM Digital Library), 961_SCOPUS(Scopus). Criterio de escolha do primario: melhor status de obtencao do PDF, depois resumo mais completo, depois presenca de DOI, depois menor logical_id. Registro primario: 961_SCOPUS. Conforme o protocolo, a deduplicacao e nao destrutiva: os registros duplicados sao preservados e vinculados, nunca apagados, para sustentar a contagem PRISMA e a rastreabilidade da busca. DECISAO: EXCLUIDO por E3 — duplicata de 961_SCOPUS. A evidencia deste registro nao se perde: ela e extraida do registro primario do mesmo grupo.",CLOSED,closed,,,,2026-08-15,OK_ACERVO_LOCAL,pdfs/011_ACM.pdf,acervo_local (titulo),,models_2024_companion_part5_pdf/A RAG-based Feedback Tool to Augment UML Class Diagram Learning.pdf,"SEM VERSAO ABERTA. Nenhuma copia aberta legal indexada pelo Unpaywall. ACAO: tente pelo acesso institucional CAPES/UPE (proxy ez371 no site da editora). Se nao houver assinatura, as saidas sao pedir o PDF ao autor por e-mail ou usar o COMUT. Atencao: 'fechado' nao significa inexistente - 20 artigos deste grupo ja foram achados no seu acervo local.",true,E3,DUP-A-005,duplicata
012,012_ACM,CONF,Guidelines to Prompt Large Language Models for Code Generation: An Empirical Characterization,"Midolo, Alessandro; Giagnorio, Alessandro; Zampetti, Fiorella; Tufano, Rosalia; Bavota, Gabriele; Penta, Massimiliano Di",Proceedings of the 2026 34th IEEE/ACM International Conference on Program Comprehension,,Proceedings of the 2026 34th IEEE/ACM International Conference on Program Comprehension,2026///,2026,319,330,10.1145/3794763.3794819,9798400724824,Association for Computing Machinery,https://doi.org/10.1145/3794763.3794819,ACM Digital Library,Large Language Models for Code Generation; Prompt Optimization,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,,https://doi.org/10.1145/3794763.3794819,2026-08-15,OK_PUBLISHER,pdfs/012_ACM.pdf,publisher,,Downloads/3794763.3794819.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",,,,
013,013_ACM,JOUR,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,"Li, Tao; Cui, Chenhui; Huang, Rubing; Towey, Dave; Ma, Lei",ACM Trans. Softw. Eng. Methodol.,,,2026///,2026,Article 77,,10.1145/3735553,1049-331X,Association for Computing Machinery,https://doi.org/10.1145/3735553,ACM Digital Library,Automated Web-Form Testing; Large Language Models (LLMs); Web-Form-Test Generation; Java Web Applications; Empirical Study,acm/acm_A2.enw,35,3,,,,,,,,,,,,,,CLOSED,closed,,,,2026-08-15,OK_PUBLISHER,pdfs/013_ACM.pdf,publisher,,Downloads/3735553.pdf,"PDF DA EDITORA via acesso institucional CAPES. Versao final publicada, pronta para extracao de dados.",,,,
014,014_ACM,CONF,QuizWiz: Integrating Generative Artificial Intelligence in an Online Study Tool,"Almadhoob, Ali Husain; Saleh, Akbar Sayed Kadhem; Akbar, Fatema",Proceedings of the 2024 7th International Conference on Big Data and Education,,Proceedings of the 2024 7th International Conference on Big Data and Education,2025///,2025,87,96,10.1145/3704289.3704296,9798400716980,Association for Computing Machinery,https://doi.org/10.1145/3704289.3704296,ACM Digital Library,Chatbot; Educational Technology; Generative AI; LLMs; Learning Technologies; flashcards,acm/acm_A2.enw,,,,,,,,,,,,,,,,CLOSED,closed,,,,2026-08-15,OK_PUBLISHER,pdfs/014_ACM.pdf,publisher,,Downloads/3704289.3704296.pdf,"PDF DA EDITORA via acesso institucional CAPES. Versao final publicada, pronta para extracao de dados.",,,,
015,015_ACM,CONF,From Attack Trees to Attack-Defense Trees with Generative AI &amp; Natural Language Processing,"Allende, Alan Birchler De; Sultan, Bastien; Apvrille, Ludovic",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"Linz, Austria",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,2024///,2024,561,569,10.1145/3652620.3687804,9798400706226,Association for Computing Machinery,https://doi.org/10.1145/3652620.3687804,ACM Digital Library,artificial intelligence; large-language models; attack-defense trees; model-driven engineering,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,https://dl.acm.org/doi/pdf/10.1145/3652620.3687804?download=true,https://doi.org/10.1145/3652620.3687804,2026-08-15,OK_PUBLISHER,pdfs/015_ACM.pdf,publisher,https://dl.acm.org/doi/pdf/10.1145/3652620.3687804?download=true,,"PRONTO. PDF baixado direto do site da editora = versao final publicada, de fonte confiavel. Nenhuma acao necessaria; pode seguir para a leitura e extracao de dados.",,,,
016,016_ACM,CONF,Behavioral Analysis of Classroom Interactions Supported by Generative Artificial Intelligence,"Wen, Jiacun; Lin, Yi; Si, Nian",Proceedings of the 2024 7th International Conference on Educational Technology Management,,Proceedings of the 2024 7th International Conference on Educational Technology Management,2025///,2025,49,54,10.1145/3711403.3711410,9798400717468,Association for Computing Machinery,https://doi.org/10.1145/3711403.3711410,ACM Digital Library,Classroom interactive behavior; Generative artificial intelligence; lagged series analysis,acm/acm_A2.enw,,,,,,,,,,,,,,,,CLOSED,closed,,,,2026-08-15,OK_PUBLISHER,pdfs/016_ACM.pdf,publisher,,Downloads/3711403.3711410.pdf,"PDF DA EDITORA via acesso institucional CAPES. Versao final publicada, pronta para extracao de dados.",,,,
017,017_ACM,JOUR,AutoSilicon: Scaling Up RTL Design Generation Capability of Large Language Models,"Li, Cangyuan; Chen, Chujie; Pan, Yudong; Xu, Wenjun; Liu, Yiqi; Chang, Kaiyan; Wang, Yujie; Wang, Mengdi; Li, Huawei; Han, Yinhe; Wang, Ying",ACM Trans. Des. Autom. Electron. Syst.,,,2025///,2025,Article 97,,10.1145/3737286,1084-4309,Association for Computing Machinery,https://doi.org/10.1145/3737286,ACM Digital Library,Verilog code generation; LLM; agent; verilog,acm/acm_A2.enw,30,6,,,,,,,,,,,,,,OPEN,hybrid,publisher,https://dl.acm.org/doi/pdf/10.1145/3737286,https://doi.org/10.1145/3737286,2026-08-15,OK_ACERVO_LOCAL,pdfs/017_ACM.pdf,acervo_local (indicado_usuario),https://dl.acm.org/doi/pdf/10.1145/3737286,3737286.pdf,"PRONTO COM RESSALVA. PDF encontrado na sua pasta Downloads (coletas manuais anteriores), casado por DOI ou por titulo. ACAO: confira a coluna pdf_local_source e o pdf_source_host_type. Se o casamento foi por 'title' ou se o nome do arquivo sugere preprint/camera-ready, abra e confirme que e o artigo certo e a versao final.",,,,
018,018_ACM,CONF,Generating SysML Behavior Models via Large Language Models: an Empirical Study,"Wang, Yuan; Ge, Ning; Liu, Jiangxi; Cao, Zhilong; Chen, Zheping; Hu, Chunming",Proceedings of the 16th International Conference on Internetware,,Proceedings of the 16th International Conference on Internetware,2025///,2025,366,377,10.1145/3755881.3755926,9798400719264,Association for Computing Machinery,https://doi.org/10.1145/3755881.3755926,ACM Digital Library,SysML behavior models; model generation; large language models; hallucination; model checking,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,https://dl.acm.org/doi/pdf/10.1145/3755881.3755926,https://doi.org/10.1145/3755881.3755926,2026-08-15,OK_ACERVO_LOCAL,pdfs/018_ACM.pdf,acervo_local (indicado_usuario),https://dl.acm.org/doi/pdf/10.1145/3755881.3755926,3755881.3755926.pdf,"PRONTO COM RESSALVA. PDF encontrado na sua pasta Downloads (coletas manuais anteriores), casado por DOI ou por titulo. ACAO: confira a coluna pdf_local_source e o pdf_source_host_type. Se o casamento foi por 'title' ou se o nome do arquivo sugere preprint/camera-ready, abra e confirme que e o artigo certo e a versao final.",,,,
019,019_ACM,JOUR,OCPPuzz: Specification-Driven Fuzzing of Charging Station Management Systems with Large Language Model,"Hong, Jongchan; Kim, Jaewon; Hwang, Sungjae",Proc. ACM Softw. Eng.,,,2026///,2026,Article FSE063,,10.1145/3797091,,Association for Computing Machinery,https://doi.org/10.1145/3797091,ACM Digital Library,GPT; OCPP; automated validation; fuzzing; protocol testing,acm/acm_A2.enw,3,FSE,,,,,,,,,,,,,,OPEN,hybrid,publisher,,https://doi.org/10.1145/3797091,2026-08-15,OK_PUBLISHER,pdfs/019_ACM.pdf,publisher,,Downloads/3797091.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",,,,
020,020_ACM,JOUR,Integrating Large Language Models in Judicial Workflows: Designing an LLM-based Crime Reporting Application through Design Science Research,"Bianchini, Devis; Garda, Massimiliano",Digit. Gov.: Res. Pract.,,,2026///,2026,Article 5,,10.1145/3785143,,Association for Computing Machinery,https://doi.org/10.1145/3785143,ACM Digital Library,Generative AI; large language models; prompt engineering; prompt templates; court of appeal; design science research,acm/acm_A2.enw,7,1,,,,,,,,,,,,,,OPEN,hybrid,publisher,,https://doi.org/10.1145/3785143,2026-08-15,OK_PUBLISHER,pdfs/020_ACM.pdf,publisher,,Downloads/3785143.pdf,"PDF DA EDITORA. Versao final publicada, pronta para extracao de dados.",,,,
