ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
"MS-MODELS-2024-MAIN-0018","MSU-MODELS-2024-MAIN","18","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674089","ModelMate: A recommender for textual modeling languages based on pre-trained language models","Carlos Durá Costa,José Antonio Hernández López,Jesús Sánchez Cuadrado","10.1145/3640310.3674089","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674089","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0019","MSU-MODELS-2024-MAIN","19","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674092","Towards Runtime Monitoring for Responsible Machine Learning using Model-driven Engineering","Hira Naveed,John Grundy,Chetan Arora,Hourieh Khalajzadeh,Omar Haggag","10.1145/3640310.3674092","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674092","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0020","MSU-MODELS-2024-MAIN","20","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674093","A DSL for Testing LLMs for Fairness and Bias","Sergio Morales,Robert Clarisó,Jordi Cabot","10.1145/3640310.3674093","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674093","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0021","MSU-MODELS-2024-MAIN","21","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674080","Give me some REST: A Controlled Experiment to Study Effects and Perception of Model-Driven Engineering with a Domain-Specific Language","Maximilian Schiedermeier,Jörg Kienzle,Bettina Kemme","10.1145/3640310.3674080","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674080","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0022","MSU-MODELS-2024-MAIN","22","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674104","EpiMDE: A-Model Driven Engineering Platform for Epidemiological Modeling","Bruno Curzi-Laliberté,Marios Fokaefs,Michalis Famelis,Mohammad Hamdaqa","10.1145/3640310.3674104","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674104","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0023","MSU-MODELS-2024-MAIN","23","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674103","Mutation Testing of Java Bytecode: A Model-Driven Approach","Christoph Bockisch,Deniz Eren,Sascha Lehmann,Daniel Neufeld,Gabriele Taentzer","10.1145/3640310.3674103","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674103","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0024","MSU-MODELS-2024-MAIN","24","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674098","Towards Automated Test Scenario Generation for Assuring COLREGs Compliance of Autonomous Surface Vehicles","Ulf Kargén,Dániel Varró","10.1145/3640310.3674098","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674098","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0025","MSU-MODELS-2024-MAIN","25","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674096","AutoMW: Model-based Automated Medical Writing","Asha Rajbhoj,Ajim Pathan,Tanay Sant,Vinay Kulkarni,Padmalata Nistala, + 3","10.1145/3640310.3674096","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674096","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","HTML author list truncated; interface indicated 3 additional author(s). ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0026","MSU-MODELS-2024-MAIN","26","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674097","Requirement-Driven Generation of Distributed Ledger Architectures","Noor Mohammed Sabr Al-Gburi,András Földvári,Kristóf Marussy,Oszkár Semeráth, + 1","10.1145/3640310.3674097","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674097","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","HTML author list truncated; interface indicated 1 additional author(s). ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0027","MSU-MODELS-2024-MAIN","27","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674095","Meta-Modelling Kindness","Faeq Alrimawi,Bashar Nuseibeh","10.1145/3640310.3674095","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674095","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
