ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-MODELSWARD-2022-0021,MSU-MODELSWARD-2022,21,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=qsch8IAFrwI=&t=1,A Method for Detecting Common Weaknesses in Self-Sovereign Identity Systems Using Domain-Specific Models and Knowledge Graph,Charnon Pattiyanon; Toshiaki Aoki; Daisuke Ishii,10.5220/0010824900003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=qsch8IAFrwI=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0022,MSU-MODELSWARD-2022,22,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=8GmyhtaAH0I=&t=1,From Monolithic Models to Agile Micromodels,Sebastian Copei; Christoph Eickhoff; Adam Malik; Natascha Nolte; Ulrich Norbisrath; Jonas Sorgalla; Jens H. Weber; Albert Zündorf,10.5220/0010837200003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=8GmyhtaAH0I=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0023,MSU-MODELSWARD-2022,23,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=+GB40tHYfrc=&t=1,Conversion Method of MATLAB/Simulink Model for a Functional Resonance Analysis Method-based Model,Masamichi Kakeshita; Kenji Hisazumi; Yasutaka Michiura; Keita Sakemi; Michihiro Matsumoto,10.5220/0010845600003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=+GB40tHYfrc=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0024,MSU-MODELSWARD-2022,24,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=d/q5QiC9tjs=&t=1,Experimental Comparison of Two Goal-oriented Analysis Techniques,Carlos Cano-Genoves; Silvia Abrahão; Emilio Insfran,10.5220/0010847000003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=d/q5QiC9tjs=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0025,MSU-MODELSWARD-2022,25,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=BbOa61kQkTQ=&t=1,Model-based Generation of Hazard-driven Arguments and Formal Verification Evidence for Assurance Cases,Fang Yan; Simon Foster; Ibrahim Habli; Ran Wei,10.5220/0010847300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=BbOa61kQkTQ=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0026,MSU-MODELSWARD-2022,26,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=6WjOvAvsel8=&t=1,Model-driven Engineering and Simulation of Industrial Robots with ROS,Niels Hoppe; Jan Hoffschulte,10.5220/0010883600003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=6WjOvAvsel8=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0027,MSU-MODELSWARD-2022,27,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=/vZN4RV/W9M=&t=1,Approach to Reference Models for Building Performance Simulation,Sahil-Jai Arora; Clara Ceccolini; Markus Rabe,10.5220/0010888800003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=/vZN4RV/W9M=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0028,MSU-MODELSWARD-2022,28,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=qdB3RnzKtEU=&t=1,Automated Curation of Variational Data in NoSQL Databases through Metric-driven Self-adaptive Migration Strategies,Andrea Hillenbrand; Uta Störl,10.5220/0010891300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=qdB3RnzKtEU=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0029,MSU-MODELSWARD-2022,29,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=cg+RPwzhWXw=&t=1,Towards a Goal-oriented Method for Software Solutions Prioritization,Prisca Petelo; Abderrahmane Leshob; Benzarti Imen; Hafedh Mili,10.5220/0010891500003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=cg+RPwzhWXw=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0030,MSU-MODELSWARD-2022,30,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=XU63VFdAGaw=&t=1,Automatic Code Generation for a Seamless Low-cost Development Platform,Sven Jacobitz; Xiaobo Liu-Henke,10.5220/0010894300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=XU63VFdAGaw=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0031,MSU-MODELSWARD-2022,31,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=Q7ff7z+T03Y=&t=1,Historical Knowledge Modelling and Analysis through Ontologies and Timeline Extraction Operators: Application to Computing Heritage,Christophe Ponsard; Aurélien Masson; Ward Desmet,10.5220/0010900400003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=Q7ff7z+T03Y=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0032,MSU-MODELSWARD-2022,32,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=fVN91anCpPs=&t=1,Scenario-assisted Deep Reinforcement Learning,Raz Yerushalmi; Guy Amir; Achiya Elyasaf; David Harel; Guy Katz; Assaf Marron,10.5220/0010904700003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=fVN91anCpPs=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0033,MSU-MODELSWARD-2022,33,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=6qjpM87Rn1M=&t=1,Towards a Lightweight Model-driven Smart-city Digital Twin,Jean-Sébastien Sottet; Pierre Brimont; Christophe Feltus; Benjamin Gateau; Jean-Francois Merche,10.5220/0010906100003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=6qjpM87Rn1M=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0034,MSU-MODELSWARD-2022,34,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=TZ9txog5Lig=&t=1,"SHORE: A Model-driven Approach That Combines Goal, Semantic and Variability Models for Smart HOme self-REconfiguration",Denisse Muñante; Bruno Traverson; Sophie Chabridon; Amel Bouzeghoub,10.5220/0010907300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=TZ9txog5Lig=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0035,MSU-MODELSWARD-2022,35,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=HSkUApPJkCE=&t=1,Towards Model-driven Fuzzification of Adaptive Systems Specification,Tomáš Bureš; Petr Hnětynka; Martin Kruliš; Jan Pacovský,10.5220/0010910800003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=HSkUApPJkCE=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0036,MSU-MODELSWARD-2022,36,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=hy2muapEKEk=&t=1,Classification Scheme for the Concrete Syntax of Graph-like Modeling Languages for Layout Algorithm Reuse,Gregor Wrobel; Robert Scheffler,10.5220/0010913400003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=hy2muapEKEk=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0037,MSU-MODELSWARD-2022,37,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=WqLYxa9nEm8=&t=1,Towards Model Transformation with Structural Level-spanning Patterns,Sándor Bácsi; Gergely Mezei,10.5220/0010918800003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=WqLYxa9nEm8=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0038,MSU-MODELSWARD-2022,38,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=nk59S2p0RKk=&t=1,The Challenges of Defining and Parsing Multi-Layer DMLA Models,Norbert Somogyi; Gergely Mezei,10.5220/0010918900003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=nk59S2p0RKk=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0039,MSU-MODELSWARD-2022,39,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=mACbBbgVWdQ=&t=1,Value Creation Patterns for Industry-relevant Model-based Cyber-Physical Systems,Nicolas C. Egger; Emanuele Laurenzi,10.5220/0010984400003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=mACbBbgVWdQ=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0040,MSU-MODELSWARD-2022,40,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=LciJfAzQOs4=&t=1,UgameFeature: Automatic Code Generation for Unity Game Projects,Joshua Kritz; Mart de Roos; Luís Ferreira Pires; João Luiz Rebelo Moreira; Giancarlo Guizzardi,10.5220/0010990000003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=LciJfAzQOs4=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0041,MSU-MODELSWARD-2022,41,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=+70zVEHeYPo=&t=1,Platform-independent Specifications for Robotic Process Automation Applications,Carlos Jorge Martelo Correia; Alberto Rodrigues da Silva,10.5220/0010991200003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=+70zVEHeYPo=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0042,MSU-MODELSWARD-2022,42,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=3c/XzPIEYN4=&t=1,Model to Hardware: System-level Modeling for Wearable Devices,Daniela Genius; Roselyne Chotin,10.5220/0011005400003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=3c/XzPIEYN4=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2022-0043,MSU-MODELSWARD-2022,43,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=rk+JrTCc0UE=&t=1,AI-guided Model-Driven Embedded Software Engineering,Padma Iyenghar; Friedrich Otte; Elke Pulvermueller,10.5220/0011006200003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=rk+JrTCc0UE=&t=1,2026-08-14T21:33:44Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
