SourceID,ManualSearchUnitID,SourceRole,URL,RetrievedAt,LocalSnapshot,SHA256,ContentType,Notes
SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,MSU-MODELSWARD-2022,PRIMARY_TOC,https://www.scitepress.org/ProceedingsDetails.aspx?ID=Dp5RIxfE8cM=&t=1,2026-08-14T21:33:44Z,controlled://MSU-MODELSWARD-2022/publisher_primary_toc.html,739b65e3e970e861b2b3fa288d701a14f1e436bd0acaafc4debb06492413249d,text/html,Human-authenticated acquisition via institutional access. Source bytes retained in controlled project storage. Not redistributed publicly. Offline completeness validation observed 43 of 43 records.
SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,MSU-MODELSWARD-2022,METADATA_SOURCE,,2026-08-14T21:34:45Z,controlled://MSU-MODELSWARD-2022/publisher_export.bib,0702cadc6107ee2230daafdd6acf476b80ef4609c42d91110f61c1ac923e0de4,application/x-bibtex,Human-authenticated publisher aggregate export. Source bytes retained in controlled project storage. Not redistributed publicly. Parsed with BibTeX::Parser 1.05.
SRC-MODELSWARD-2022-CROSSCHECK-HUMAN-20260815,MSU-MODELSWARD-2022,VENUE_CROSSCHECK,https://modelsward.scitevents.org/?y=2022,2026-08-15T13:13:01Z,controlled://MSU-MODELSWARD-2022/official_site_crosscheck.html,c7a0032fc48f448958baee9e51f47e3c09a6ed876b517886a86f06d705337ae8,text/html,Official SCITEVENTS annual conference page acquired manually. Source bytes retained in controlled project storage and not redistributed publicly. CrosscheckGranularity=EVENT_LEVEL; the linked technical program is not locally materialized.
